STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
50,019,13150,01462067,5001913150,0600000US5001913150,Charleston,Charleston town,43,T1,G4040,A,96102891,3703014,+44.8709824,-072.0250245
50,019,16150,01462077,5001916150,0600000US5001916150,Coventry,Coventry town,43,T1,G4040,A,69986513,2043724,+44.8881264,-072.2341924
50,019,16300,01462078,5001916300,0600000US5001916300,Craftsbury,Craftsbury town,43,T1,G4040,A,101009278,1443997,+44.6480820,-072.3894097
50,019,30175,01462109,5001930175,0600000US5001930175,Greensboro,Greensboro town,43,T1,G4040,A,97906517,4533332,+44.6020080,-072.2847628
50,019,33775,01462277,5001933775,0600000US5001933775,Holland,Holland town,43,T1,G4040,A,98241076,1906159,+44.9721002,-071.9869694
50,007,06550,01462045,5000706550,0600000US5000706550,Bolton,Bolton town,43,T1,G4040,A,108170249,715843,+44.3998598,-072.8773967
50,019,35575,01462124,5001935575,0600000US5001935575,Irasburg,Irasburg town,43,T1,G4040,A,104302251,693339,+44.8194207,-072.2831213
50,019,40525,01462137,5001940525,0600000US5001940525,Lowell,Lowell town,43,T1,G4040,A,146401788,207612,+44.7934371,-072.4584514
50,019,46450,01462275,5001946450,0600000US5001946450,Morgan,Morgan town,43,T1,G4040,A,80822256,7556815,+44.8961276,-071.9412429
50,019,48850,01462161,5001948850,0600000US5001948850,Newport,Newport city,25,C5,G4040,F,15171890,4574098,+44.9366893,-072.2095579
50,019,48925,01462162,5001948925,0600000US5001948925,Newport,Newport town,43,T1,G4040,A,107555208,5165883,+44.9321187,-072.3001309
50,019,73525,01462230,5001973525,0600000US5001973525,Troy,Troy town,43,T1,G4040,A,93570425,824333,+44.9316643,-072.3849151
50,007,13300,01462068,5000713300,0600000US5000713300,Charlotte,Charlotte town,43,T1,G4040,A,106841378,23596626,+44.3057370,-073.2355534
50,007,33475,01462119,5000733475,0600000US5000733475,Hinesburg,Hinesburg town,43,T1,G4040,A,101781959,1003618,+44.3319930,-073.0859456
50,007,34600,01462121,5000734600,0600000US5000734600,Huntington,Huntington town,43,T1,G4040,A,99009762,253634,+44.3125390,-072.9521082
50,007,36700,01462128,5000736700,0600000US5000736700,Jericho,Jericho town,43,T1,G4040,A,91829001,410210,+44.4644544,-072.9631555
50,001,08575,01462051,5000108575,0600000US5000108575,Bridport,Bridport town,43,T1,G4040,A,113158876,6686784,+43.9817242,-073.3319365
50,001,26300,01462098,5000126300,0600000US5000126300,Ferrisburgh,Ferrisburgh town,43,T1,G4040,A,122981523,35540139,+44.2031331,-073.2791964
50,001,53725,01462168,5000153725,0600000US5000153725,Orwell,Orwell town,43,T1,G4040,A,122300017,6477287,+43.8090987,-073.2779922
50,001,39325,01462132,5000139325,0600000US5000139325,Leicester,Leicester town,43,T1,G4040,A,53966710,2413324,+43.8745281,-073.0997492
50,001,48700,01462160,5000148700,0600000US5000148700,New Haven,New Haven town,43,T1,G4040,A,106590692,907385,+44.1049809,-073.1657575
50,017,13525,01462069,5001713525,0600000US5001713525,Chelsea,Chelsea town,43,T1,G4040,A,103731778,123968,+43.9911583,-072.4572918
50,017,48175,01462158,5001748175,0600000US5001748175,Newbury,Newbury town,43,T1,G4040,A,165884242,1351644,+44.1193206,-072.1174340
50,005,61525,01462195,5000561525,0600000US5000561525,Ryegate,Ryegate town,43,T1,G4040,A,94703073,758583,+44.2222488,-072.1109091
50,005,77125,01462245,5000577125,0600000US5000577125,Waterford,Waterford town,43,T1,G4040,A,99155685,3639175,+44.3628571,-071.9342681
50,005,17125,01462080,5000517125,0600000US5000517125,Danville,Danville town,43,T1,G4040,A,156995401,1064232,+44.4375039,-072.1248218
50,005,02875,01462034,5000502875,0600000US5000502875,Barnet,Barnet town,43,T1,G4040,A,109623097,3396995,+44.3126302,-072.0667786
50,007,10675,01462060,5000710675,0600000US5000710675,Burlington,Burlington city,25,C5,G4040,F,26684549,13079229,+44.4919270,-073.2388823
50,007,64300,01462206,5000764300,0600000US5000764300,Shelburne,Shelburne town,43,T1,G4040,A,62874422,49260125,+44.3892883,-073.2435023
50,007,66175,01462212,5000766175,0600000US5000766175,South Burlington,South Burlington city,25,C5,G4040,F,42565245,37303579,+44.4364688,-073.1826228
50,007,84475,01462263,5000784475,0600000US5000784475,Williston,Williston town,43,T1,G4040,A,78942811,1391505,+44.4291659,-073.0963101
50,023,03250,01462036,5002303250,0600000US5002303250,Barre,Barre town,43,T1,G4040,A,79183873,393130,+44.1829932,-072.4750500
50,023,46225,01462153,5002346225,0600000US5002346225,Moretown,Moretown town,43,T1,G4040,A,102857700,925865,+44.2565994,-072.7106675
50,023,05650,01462042,5002305650,0600000US5002305650,Berlin,Berlin town,43,T1,G4040,A,93344938,1764962,+44.2044832,-072.6075913
50,023,55825,01462175,5002355825,0600000US5002355825,Plainfield,Plainfield town,43,T1,G4040,A,54396776,215996,+44.2523750,-072.4165592
50,023,11350,01462062,5002311350,0600000US5002311350,Calais,Calais town,43,T1,G4040,A,98239517,1615483,+44.3616211,-072.4658304
50,023,03175,01462035,5002303175,0600000US5002303175,Barre,Barre city,25,C5,G4040,F,10327563,83567,+44.1990877,-072.5079788
50,023,21925,01462087,5002321925,0600000US5002321925,East Montpelier,East Montpelier town,43,T1,G4040,A,82227291,659922,+44.2961230,-072.5069208
50,023,25825,01462096,5002325825,0600000US5002325825,Fayston,Fayston town,43,T1,G4040,A,94551006,22418,+44.2221472,-072.8852376
50,023,43600,01462144,5002343600,0600000US5002343600,Marshfield,Marshfield town,43,T1,G4040,A,112174794,1093674,+44.2959469,-072.3461850
50,023,46000,01462152,5002346000,0600000US5002346000,Montpelier,Montpelier city,25,C5,G4040,F,26048126,504949,+44.2664485,-072.5715237
50,023,50275,01462163,5002350275,0600000US5002350275,Northfield,Northfield town,43,T1,G4040,A,115595913,334771,+44.1476160,-072.6912290
50,023,60625,01462190,5002360625,0600000US5002360625,Roxbury,Roxbury town,43,T1,G4040,A,108000616,124100,+44.0651077,-072.7296247
50,023,75325,01462237,5002375325,0600000US5002375325,Waitsfield,Waitsfield town,43,T1,G4040,A,66688119,460997,+44.1807542,-072.7970655
50,019,17350,01462081,5001917350,0600000US5001917350,Derby,Derby town,43,T1,G4040,A,126865268,21662934,+44.9516962,-072.1363029
50,023,76525,01462242,5002376525,0600000US5002376525,Warren,Warren town,43,T1,G4040,A,103815929,130707,+44.1125264,-072.8740304
50,023,85525,01462270,5002385525,0600000US5002385525,Woodbury,Woodbury town,43,T1,G4040,A,97701026,4098049,+44.4580851,-072.3791292
50,023,86125,01462273,5002386125,0600000US5002386125,Worcester,Worcester town,43,T1,G4040,A,99860093,445145,+44.4247137,-072.5953739
50,021,71050,01462222,5002171050,0600000US5002171050,Sudbury,Sudbury town,43,T1,G4040,A,55409219,1943172,+43.7982284,-073.1742733
50,021,72925,01462227,5002172925,0600000US5002172925,Tinmouth,Tinmouth town,43,T1,G4040,A,74050391,429892,+43.4421556,-073.0670737
50,021,77950,01462248,5002177950,0600000US5002177950,Wells,Wells town,43,T1,G4040,A,57867586,2263889,+43.4428209,-073.1910655
50,021,82300,01462256,5002182300,0600000US5002182300,West Rutland,West Rutland town,43,T1,G4040,A,46692437,139667,+43.6123987,-073.0603041
